f.movieid,m.title,rating_count,average_rating
6564,lara croft tomb raider: the cradle of life,35,2.0
44115,shinobi: heart under blade,35,4.0
41566,"chronicles of narnia: the lion, the witch and the wardrobe, the",35,3.8
106782,"wolf of wall street, the",35,3.97
2712,eyes wide shut,35,4.03
904,rear window,35,4.51
97921,silver linings playbook,35,4.84
6365,"matrix reloaded, the",35,4.19
2997,being john malkovich,35,4.3
78772,"twilight saga: eclipse, the",35,3.14
74545,"ghost writer, the",35,2.81
56174,i am legend,35,3.81
30707,million dollar baby,35,3.5
1968,"breakfast club, the",34,4.5
34048,war of the worlds,34,2.34
195497,vice,34,3.94
212461,the invisible man,34,3.43
83134,tucker & dale vs evil,34,4.19
95167,brave,34,3.79
5388,insomnia,34,3.59
106489,"hobbit: the desolation of smaug, the",34,4.01
4437,suspiria,34,3.34
2515,children of the corn ii: the final sacrifice,34,2.0
88810,"help, the",34,4.21
115122,what we do in the shadows,34,4.28
4963,ocean's eleven,34,4.25
6377,finding nemo,34,3.99
61323,burn after reading,34,3.82
268642,the batman,34,3.91
2010,metropolis,33,4.65
163645,hacksaw ridge,33,4.05
122886,star wars: episode vii - the force awakens,33,4.11
778,trainspotting,33,4.35
3556,"virgin suicides, the",33,3.76
122910,captain marvel,33,3.38
480,jurassic park,33,4.15
31658,howl's moving castle,33,3.74
91658,"girl with the dragon tattoo, the",33,3.58
52328,sunshine,33,3.74
204542,it: chapter two,33,3.86
133771,the lobster,33,4.0
210569,birds of prey,32,3.58
1198,raiders of the lost ark,32,4.3
176371,blade runner 2049,32,4.22
1209,once upon a time in the west,32,3.92
139385,the revenant,32,3.86
555,true romance,32,3.52
2160,rosemary's baby,32,4.33
173291,valerian and the city of a thousand planets,32,3.13
3702,mad max,32,3.05
101864,oblivion,32,4.03
208205,star wars: the rise of skywalker,32,1.61
44199,inside man,31,4.37
221886,shiva baby,31,2.26
84954,"adjustment bureau, the",31,4.1
76251,kick-ass,31,4.26
67197,knowing,31,2.76
193449,mid90s,31,4.0
152081,zootopia,31,4.16
1617,l.a. confidential,31,4.39
64839,"wrestler, the",31,3.27
189363,ocean's 8,31,3.08
115617,big hero 6,31,4.16
908,north by northwest,31,4.69
43560,nanny mcphee,31,1.89
112290,boyhood,31,3.89
33679,mr. & mrs. smith,31,3.65
54259,stardust,30,4.1
183897,isle of dogs,30,4.03
8984,ocean's twelve,30,3.3
55765,american gangster,30,4.63
97752,cloud atlas,30,4.22
194448,green book,30,4.52
8376,napoleon dynamite,30,3.63
169984,alien: covenant,30,3.6
2395,rushmore,30,4.25
866,bound,30,4.3
115210,fury,30,3.92
61240,let the right one in,30,4.17
1261,evil dead ii,30,4.6
177593,"three billboards outside ebbing, missouri",29,4.16
200822,dark phoenix,29,3.14
66097,coraline,29,4.21
36529,lord of war,29,4.19
2076,blue velvet,29,3.74
5971,my neighbor totoro,29,4.03
168254,kong: skull island,29,3.14
3052,dogma,29,4.34
88163,"crazy, stupid, love.",29,3.72
3481,high fidelity,29,4.05
212361,sound of metal,29,4.4
89753,tinker tailor soldier spy,29,4.4
209965,uncut gems,29,3.57
1232,stalker,29,3.83
116897,wild tales,29,4.93
79293,salt,29,2.79
90405,in time,29,4.03
6,heat,29,4.22
4105,"evil dead, the",29,4.26
6934,"matrix revolutions, the",29,3.53
50872,ratatouille,29,4.14
192389,venom,29,2.81
2291,edward scissorhands,28,4.0
551,"nightmare before christmas, the",28,3.66
113741,coherence,28,4.48
200306,booksmart,28,4.04
2617,"mummy, the",28,4.0
201773,spider-man: far from home,28,2.39
108190,divergent,28,2.61
190339,white fang,28,4.5
1215,army of darkness,28,3.5
195209,code 8,28,4.0
157699,snowden,28,5.0
45499,x-men: the last stand,28,2.77
206246,the platform,28,4.3
3698,"running man, the",28,3.73
52885,paprika,28,3.93
1293,gandhi,28,4.39
3916,remember the titans,28,4.66
2692,run lola run,28,4.5
92058,"human centipede ii, the",28,5.0
741,ghost in the shell,28,4.55
109848,under the skin,28,2.05
5291,rashomon,28,4.41
86882,midnight in paris,27,3.39
112852,guardians of the galaxy,27,3.39
88405,friends with benefits,27,3.72
176751,american made,27,3.98
31696,constantine,27,4.44
98607,redline,27,3.81
33171,mysterious skin,27,4.85
1288,this is spinal tap,27,4.59
72601,teenage mutant ninja turtles: turtles forever,27,3.0
85367,just go with it,27,3.2
7587,"samouraï, le",27,4.5
80210,"end of poverty, the",27,5.0
114180,"maze runner, the",27,3.87
204704,ready or not,27,4.02
1237,"seventh seal, the",27,4.06
4896,harry potter and the sorcerer's stone,27,4.48
226202,free guy,27,2.87
202103,i am mother,27,4.85
183421,red sparrow,27,3.56
6818,come and see,27,2.57
1464,lost highway,27,4.31
158783,the handmaiden,27,4.09
1298,pink floyd: the wall,26,4.98
7068,last year at marienbad,26,4.5
94777,men in black iii,26,4.4
122916,thor: ragnarok,26,4.12
1274,akira,26,4.25
117529,jurassic world,26,3.19
71530,surrogates,26,2.62
132046,tomorrowland,26,3.98
79553,ip man 2,26,4.0
90647,puss in boots,26,3.83
140110,the intern,26,4.6
4886,"monsters, inc.",26,4.44
90866,hugo,26,3.44
248912,army of the dead,26,1.92
2716,ghostbusters,26,4.06
8361,"day after tomorrow, the",26,2.98
110730,transcendence,26,2.96
66665,away we go,26,3.6
2313,"elephant man, the",26,4.48
592,batman,26,3.44
205072,zombieland: double tap,25,4.06
52722,spider-man 3,25,2.82
72226,fantastic mr. fox,25,4.14
161032,the grandmother,25,5.0
2232,cube,25,3.96
6323,identity,25,3.08
497,much ado about nothing,25,4.04
87306,super 8,25,3.64
210867,underwater,25,2.56
97304,argo,25,3.76
159403,neo tokyo,25,3.0
55442,persepolis,25,4.68
166528,rogue one: a star wars story,25,3.9
1172,cinema paradiso,25,3.96
92920,"hunter, the",25,4.0
47997,idiocracy,25,4.02
7013,"night of the hunter, the",25,3.6
285597,rye lane,25,4.5
95510,"amazing spider-man, the",25,3.76
4553,they live,25,4.12
56145,"mist, the",25,4.36
79879,piranha,25,2.22
2361,pink flamingos,25,5.0
49932,inland empire,24,4.15
275245,nope,24,3.92
126046,franz kafka's a country doctor,24,5.0
76175,clash of the titans,24,3.88
81564,megamind,24,4.19
86644,fast five,24,2.83
48043,"fountain, the",24,4.79
71033,"secret in their eyes, the",24,4.94
80906,inside job,24,4.21
53519,death proof,24,2.81
177765,coco,24,4.23
175569,wind river,24,4.31
2657,"rocky horror picture show, the",24,3.94
110553,the amazing spider-man 2,24,3.33
3174,man on the moon,24,3.5
45722,pirates of the caribbean: dead man's chest,24,4.21
4643,planet of the apes,24,2.42
1221,"godfather: part ii, the",24,4.73
5349,spider-man,24,2.83
61132,tropic thunder,24,4.35
186587,rampage,24,3.38
91630,mission: impossible - ghost protocol,24,4.42
750,dr. strangelove or: how i learned to stop worrying and love the bomb,24,4.17
3703,"road warrior, the",24,1.88
235,ed wood,23,3.24
3307,city lights,23,3.91
104913,rush,23,4.2
73211,pontypool,23,4.04
73017,sherlock holmes,23,4.41
104241,kick-ass 2,23,3.28
31410,downfall,23,3.3
114935,predestination,23,4.46
234418,legend of the mountain,23,5.0
122926,untitled spider-man reboot,23,3.22
143347,aquaman,23,3.43
2019,seven samurai,23,4.43
87430,green lantern,23,3.33
111921,the fault in our stars,23,4.37
205383,el camino: a breaking bad movie,23,4.22
179331,only the brave,23,3.83
189449,macross frontier: the false songstress,23,4.5
46972,night at the museum,23,3.37
1208,apocalypse now,23,4.41
4223,enemy at the gates,23,3.5
8529,"terminal, the",23,4.37
4754,"wicker man, the",23,4.07
6299,winged migration,23,4.0
2542,"lock, stock & two smoking barrels",23,3.33
33683,high tension,23,2.72
70361,12 rounds,23,3.7
1291,indiana jones and the last crusade,23,4.41
377,speed,23,4.15
27801,ong-bak: the thai warrior,23,3.22
106918,"secret life of walter mitty, the",23,4.59
2140,"dark crystal, the",23,4.87
241272,nobody,23,4.02
1672,"rainmaker, the",23,4.11
225145,nomadland,23,3.57
276929,prey,23,4.07
493,menace ii society,23,4.22
4533,"return of the living dead, the",23,4.28
89030,fright night,23,2.89
50641,house,23,3.63
2329,american history x,22,4.43
1912,out of sight,22,3.98
73268,daybreakers,22,3.68
30793,charlie and the chocolate factory,22,3.16
143896,how to change the world,22,5.0
173145,war for the planet of the apes,22,3.98
89470,contagion,22,4.05
181315,phantom thread,22,4.0
77866,robin hood,22,4.14
151759,requiem for the american dream,22,4.84
8784,garden state,22,3.5
42418,"new world, the",22,4.16
5040,conan the destroyer,22,3.57
63131,role models,22,3.89
2360,"celebration, the",22,4.18
508,philadelphia,22,3.77
5410,silent running,22,2.0
140715,straight outta compton,22,4.86
200938,the dead don't die,22,3.11
16,casino,22,4.52
93840,"cabin in the woods, the",22,4.0
195777,mortal engines,22,2.05
59731,"bigger, stronger, faster*",22,4.5
1584,contact,22,3.05
160080,ghostbusters,22,3.7
116823,the hunger games: mockingjay - part 1,22,3.11
1676,starship troopers,22,4.2
3527,predator,22,3.2
69406,"proposal, the",22,4.68
136020,spectre,22,3.61
84152,limitless,22,4.25
89864,50/50,22,4.07
5010,black hawk down,22,3.89
6664,commando,22,3.32
88744,rise of the planet of the apes,21,3.5
1961,rain man,21,3.98
171093,waiting for the hearse,21,5.0
75985,repo men,21,4.29
171495,cosmos,21,4.88
90746,"adventures of tintin, the",21,4.02
223876,my octopus teacher,21,5.0
2011,back to the future part ii,21,4.36
3176,"talented mr. ripley, the",21,3.14
98809,"hobbit: an unexpected journey, the",21,4.5
106487,the hunger games: catching fire,21,3.95
3147,"green mile, the",21,2.86
122892,avengers: age of ultron,21,2.79
6016,city of god,21,4.62
159415,swiss army man,21,3.38
2427,"thin red line, the",21,4.05
1407,scream,21,4.67
157198,macross frontier: the wings of goodbye,21,4.5
7455,"mudge boy, the",21,4.5
159817,planet earth,21,5.0
36517,"constant gardener, the",21,4.19
8638,before sunset,21,3.64
6796,boyz n the hood,21,4.62
1080,monty python's life of brian,21,3.52
69526,transformers: revenge of the fallen,21,2.86
8970,finding neverland,21,3.86
1645,the devil's advocate,21,4.07
45186,mission: impossible iii,21,4.55
212373,i'm thinking of ending things,21,1.33
501,naked,21,4.12
161582,hell or high water,21,4.6
6440,barton fink,21,4.14
7454,van helsing,21,3.45
6373,bruce almighty,21,3.6
2302,my cousin vinny,21,4.17
6333,x2: x-men united,21,4.4
58998,forgetting sarah marshall,21,3.29
1320,alien³,21,3.93
71135,pandorum,20,2.95
2706,american pie,20,3.68
35836,"40-year-old virgin, the",20,3.95
3362,dog day afternoon,20,3.68
177689,the killing of a sacred deer,20,4.58
97923,flight,20,4.2
27904,"scanner darkly, a",20,3.95
2966,"straight story, the",20,3.63
189443,macross: do you remember love?,20,5.0
26326,"holy mountain, the",20,4.2
44665,lucky number slevin,20,3.73
78893,"last airbender, the",20,2.13
71282,"food, inc.",20,4.05
64957,"curious case of benjamin button, the",20,4.23
173941,atomic blonde,20,4.45
6502,28 days later,20,4.05
7327,persona,20,4.08
225625,borat subsequent moviefilm,20,3.4
97306,seven psychopaths,20,3.4
96811,end of watch,20,4.75
58103,vantage point,20,2.75
53322,ocean's thirteen,20,3.65
49961,notes on a scandal,20,3.35
115149,john wick,20,3.83
274053,top gun: maverick,20,3.93
2064,roger & me,20,3.3
2641,superman ii,20,3.08
2642,superman iii,20,2.1
1307,when harry met sally...,20,4.58
30745,gozu,20,4.05
3730,"conversation, the",20,2.78
184017,mute,20,3.28
7817,zardoz,20,3.38
4720,"others, the",20,4.4
118696,the hobbit: the battle of the five armies,20,3.43
5319,nine queens,20,4.45
4979,"royal tenenbaums, the",19,3.53
77414,"last song, the",19,1.0
252590,the tomorrow war,19,3.45
1233,"boot, das",19,4.68
169864,life,19,3.55
253,interview with the vampire: the vampire chronicles,19,3.58
105844,12 years a slave,19,4.61
6807,monty python's the meaning of life,19,3.66
102880,after earth,19,2.61
6530,"tenant, the",19,4.68
134368,spy,19,4.58
90249,real steel,19,2.42
67255,"girl with the dragon tattoo, the",19,3.66
5690,grave of the fireflies,19,4.92
1690,alien: resurrection,19,4.29
55721,elite squad,19,4.5
7371,dogville,19,4.34
150,apollo 13,19,4.37
2643,superman iv: the quest for peace,19,1.5
278824,"argentina, 1985",19,4.5
2268,"few good men, a",19,4.63
47404,mind game,19,5.0
96821,"perks of being a wallflower, the",19,3.13
47610,"illusionist, the",19,4.45
189551,macross dynamite seven,19,3.5
63113,quantum of solace,19,3.79
8582,manufacturing consent: noam chomsky and the media,19,5.0
81834,harry potter and the deathly hallows: part 1,19,3.45
1590,event horizon,19,2.11
87232,x-men: first class,19,3.89
72489,ninja assassin,19,3.76
72641,"blind side, the",19,3.58
79251,"serbian film, a",19,4.32
63082,slumdog millionaire,19,3.39
80969,never let me go,19,3.82
903,vertigo,19,4.53
3020,falling down,19,3.87
7482,enter the dragon,19,4.05
7445,man on fire,19,4.55
279412,enola holmes 2,19,4.5
201588,toy story 4,19,4.03
177615,lady bird,19,4.76
33004,"hitchhiker's guide to the galaxy, the",19,2.58
204878,dolemite is my name,19,4.08
279182,smile,19,2.58
4022,cast away,19,3.92
97860,killing them softly,19,3.58
99007,warm bodies,19,3.53
93510,21 jump street,19,3.05
6659,tremors,19,4.11
70,from dusk till dawn,19,3.95
74698,tooth fairy,19,3.11
2023,"godfather: part iii, the",18,2.42
202159,crawl,18,3.89
192379,first man,18,4.69
122920,captain america: civil war,18,2.69
109187,"zero theorem, the",18,4.44
78316,letters to juliet,18,1.0
33437,unleashed,18,4.19
85414,source code,18,4.72
39183,brokeback mountain,18,4.03
27156,neon genesis evangelion: the end of evangelion,18,4.0
1289,koyaanisqatsi,18,4.06
135288,mr. holmes,18,4.44
1228,raging bull,18,3.75
176101,kingsman: the golden circle,18,2.94
7147,big fish,18,4.5
179491,mayhem,18,4.25
198,strange days,18,3.33
80398,22 bullets,18,4.0
65088,bedtime stories,18,4.69
539,sleepless in seattle,18,4.14
86298,rio,18,3.64
244178,the northman,18,3.72
167832,the invisible guest,18,4.94
192693,the most unknown,18,4.0
51935,shooter,18,4.69
91976,"grey, the",18,3.0
183613,thoroughbreds,18,3.5
192283,crazy rich asians,18,3.58
87869,horrible bosses,18,3.42
165969,hypernormalisation,18,4.0
84942,drive angry,18,1.0
45447,"da vinci code, the",18,3.31
193065,roma,18,4.58
27846,"corporation, the",18,5.0
8873,"motorcycle diaries, the",18,3.39
86548,water for elephants,18,2.61
25,leaving las vegas,18,4.19
64969,yes man,18,3.64
64034,"boy in the striped pajamas, the",18,4.5
139644,sicario,17,4.15
2700,"south park: bigger, longer and uncut",17,3.0
107953,dragon ball z: battle of gods,17,2.0
122918,guardians of the galaxy 2,17,4.5
597,pretty woman,17,3.5
930,notorious,17,4.06
6350,laputa: castle in the sky,17,4.0
66934,dr. horrible's sing-along blog,17,5.0
117364,virunga,17,5.0
69784,brüno,17,3.5
175485,death note,17,3.5
65230,marley & me,17,4.06
4546,"vanishing, the",17,3.91
2273,rush hour,17,4.91
243642,zack snyder's justice league,17,2.76
2297,what dreams may come,17,4.41
189447,macross zero,17,5.0
4016,"emperor's new groove, the",17,4.5
8865,sky captain and the world of tomorrow,17,4.47
26082,harakiri,17,4.74
54962,"nines, the",17,1.0
79057,predators,17,2.85
79592,"other guys, the",17,4.68
53996,transformers,17,4.26
3033,spaceballs,17,3.79
173369,you were never really here,17,4.41
30812,"aviator, the",17,3.79
100714,before midnight,17,3.88
1994,poltergeist,17,4.0
85056,i am number four,17,3.24
6774,videodrome,17,3.71
227258,the midnight sky,17,4.09
428,"bronx tale, a",17,4.76
140795,midori,17,4.5
7317,eurotrip,17,4.82
79695,"expendables, the",17,2.53
4148,hannibal,17,2.71
6270,akira kurosawa's dreams,17,0.5
122900,ant-man,17,3.32
53125,pirates of the caribbean: at world's end,17,3.88
5816,harry potter and the chamber of secrets,17,3.76
4744,jeepers creepers,17,3.38
62434,zack and miri make a porno,17,4.06
44613,take the lead,17,3.5
193944,the ballad of buster scruggs,17,3.68
74795,green zone,17,4.0
280218,avatar: the way of water,17,3.97
168248,john wick: chapter two,17,4.47
27831,layer cake,17,3.5
1259,stand by me,17,4.35
2428,"faculty, the",17,4.5
3550,the hunger,17,3.76
64229,cadillac records,17,3.85
68952,drag me to hell,16,4.0
74111,arn: the kingdom at road's end,16,4.0
73868,garbage warrior,16,4.5
72393,"fourth kind, the",16,2.0
71057,9,16,3.97
222477,wonder woman 1984,16,2.75
34162,wedding crashers,16,3.13
210861,the gentlemen,16,4.56
1036,die hard,16,3.91
1086,dial m for murder,16,4.53
284293,the covenant,16,4.5
179247,revenge,16,4.56
1449,waiting for guffman,16,4.47
48082,"science of sleep, the",16,3.44
1729,jackie brown,16,4.16
162594,morgan,16,3.13
136864,batman v superman: dawn of justice,16,2.63
135426,fantastic beasts and where to find them 2,16,2.84
2318,happiness,16,4.06
278578,all quiet on the western front,16,3.38
145,bad boys,16,4.72
27727,head-on,16,5.0
3693,"toxic avenger, the",16,4.5
247150,stowaway,16,3.38
80489,"town, the",16,3.31
78105,prince of persia: the sands of time,16,4.0
1997,"exorcist, the",16,4.78
2105,tron,16,4.38
200540,aladdin,16,3.0
182723,cosmos: a spacetime odissey,16,5.0
38886,"squid and the whale, the",16,3.34
61742,maradona by kusturica,16,3.5
1217,ran,16,4.22
168344,king arthur: legend of the sword,16,4.0
168252,logan,16,4.38
431,carlito's way,16,4.78
129354,focus,16,3.75
1680,sliding doors,16,3.47
3030,yojimbo,16,4.5
27660,"animatrix, the",16,4.03
80363,resident evil: afterlife,16,1.5
3114,toy story 2,16,4.19
3160,magnolia,16,5.0
86320,melancholia,16,4.75
253138,fear street part one: 1994,16,4.25
3535,american psycho,16,4.44
8972,national treasure,16,3.84
207233,jumanji: the next level,16,3.28
74948,harry brown,16,3.0
1544,"lost world: jurassic park, the",16,2.41
3996,"crouching tiger, hidden dragon",16,3.75
4014,chocolat,16,4.81
81562,127 hours,16,3.53
63072,"road, the",16,3.72
8464,super size me,16,3.38
4367,lara croft: tomb raider,16,3.88
179085,the ritual,16,2.81
242204,riders of justice,16,3.72
102993,"way, way back, the",16,4.13
102407,"great gatsby, the",16,3.53
213397,promising young woman,16,3.56
69306,"taking of pelham 1 2 3, the",16,3.38
5956,gangs of new york,16,3.59
4932,dressed to kill,16,3.31
595,beauty and the beast,16,4.19
163,desperado,16,3.59
1923,there's something about mary,15,3.87
135536,suicide squad,15,1.8
316,stargate,15,3.67
31892,"no retreat, no surrender",15,1.5
60072,wanted,15,3.67
85397,red riding hood,15,4.53
189555,dragon ball z - the fall of men,15,3.5
1097,e.t. the extra-terrestrial,15,4.6
45950,"inconvenient truth, an",15,3.27
85131,battle: los angeles,15,3.57
183011,the commuter,15,3.7
2644,dracula,15,4.0
113345,jupiter ascending,15,2.93
260243,the power of the dog,15,3.83
190939,a simple favor,15,3.53
2730,barry lyndon,15,4.23
201162,divide and conquer: the story of roger ailes,15,3.5
178521,the babysitter,15,4.73
3462,modern times,15,4.3
3476,jacob's ladder,15,2.9
205441,marriage story,15,4.5
71579,"education, an",15,4.5
84187,evangelion: 2.0 you can advance,15,4.4
77364,"losers, the",15,3.4
105429,inequality for all,15,5.0
