f.genres,f.movieid,m.title,average_rating
Action|Adventure|Animation|Children|Comedy,196891,the lego movie 2: the second part,4.0
Action|Adventure|Animation|Children|Comedy|Fantasy,108932,the lego movie,4.4
Action|Adventure|Animation|Children|Comedy|Fantasy,51939,tmnt,3.0
Action|Adventure|Animation|Children|Comedy|IMAX,87222,kung fu panda 2,4.0
Action|Adventure|Animation|Children|Comedy|Romance,69644,ice age: dawn of the dinosaurs,5.0
Action|Adventure|Animation|Children|Comedy|Sci-Fi,40339,chicken little,4.0
Action|Adventure|Animation|Children|Comedy|Sci-Fi,52287,meet the robinsons,4.0
Action|Adventure|Animation|Children|Comedy|Sci-Fi,274197,lightyear,2.0
Action|Adventure|Animation|Children|Comedy|Western,84944,rango,5.0
Action|Adventure|Animation|Children|Fantasy,254484,trollhunters: rise of the titans,3.5
Action|Adventure|Animation|Children|Fantasy,237227,raya and the last dragon,3.5
Action|Adventure|Animation|Children|Fantasy|Sci-Fi,6350,laputa: castle in the sky,4.0
Action|Adventure|Animation|Children|Sci-Fi,3745,titan a.e.,4.0
Action|Adventure|Animation|Comedy,8917,team america: world police,3.29
Action|Adventure|Animation|Comedy|Fantasy|Mystery|Sci-Fi,52462,aqua teen hunger force colon movie film for theaters,2.5
Action|Adventure|Animation|Comedy|Sci-Fi,189551,macross dynamite seven,3.5
Action|Adventure|Animation|Comedy|Sci-Fi,130518,the amazing screw-on head,2.0
Action|Adventure|Animation|Comedy|Thriller,72601,teenage mutant ninja turtles: turtles forever,3.0
Action|Adventure|Animation|Drama,68959,fullmetal alchemist the movie: conqueror of shamballa,2.5
Action|Adventure|Animation|Drama|Fantasy,3000,princess mononoke,4.59
Action|Adventure|Animation|Drama|Fantasy,5069,escaflowne: the movie,3.0
Action|Adventure|Animation|Drama|Sci-Fi|War,189443,macross: do you remember love?,5.0
Action|Adventure|Animation|Fantasy,215623,mortal kombat legends: scorpion’s revenge,4.0
Action|Adventure|Animation|Fantasy,6857,ninja scroll,4.0
Action|Adventure|Animation|Fantasy,137863,dragon ball z: resurrection of f,3.5
Action|Adventure|Animation|Fantasy|Sci-Fi,71129,green lantern: first flight,4.0
Action|Adventure|Animation|Fantasy|Sci-Fi,80083,dragon ball z: dead zone,3.0
Action|Adventure|Animation|Fantasy|Sci-Fi,37830,final fantasy vii: advent children,3.0
Action|Adventure|Animation|Horror|Sci-Fi,610,heavy metal,4.0
Action|Adventure|Animation|Sci-Fi,95182,dragon ball z the movie: the tree of might,4.5
Action|Adventure|Animation|Sci-Fi,195159,spider-man: into the spider-verse,4.5
Action|Adventure|Animation|Sci-Fi,286897,spider-man: across the spider-verse,4.5
Action|Adventure|Animation|Sci-Fi,1274,akira,4.25
Action|Adventure|Animation|Sci-Fi,61160,star wars: the clone wars,4.0
Action|Adventure|Animation|Sci-Fi|Thriller,95165,dragon ball z the movie: the world's strongest,3.0
Action|Adventure|Children,146050,the elusive revengers,3.5
Action|Adventure|Children,179401,jumanji: welcome to the jungle,3.38
Action|Adventure|Children|Comedy,192579,johnny english strikes again,4.5
Action|Adventure|Children|Comedy,7345,agent cody banks 2: destination london,4.0
Action|Adventure|Children|Comedy,175795,descendants 2,3.5
Action|Adventure|Children|Comedy|Drama,227096,street dreams,3.5
Action|Adventure|Children|Comedy|Fantasy,2005,"goonies, the",5.0
Action|Adventure|Children|Comedy|Fantasy,79139,"sorcerer's apprentice, the",3.0
Action|Adventure|Children|Comedy|Fantasy|Sci-Fi,210577,sonic the hedgehog,3.5
Action|Adventure|Children|Comedy|Sci-Fi,89002,spy kids: all the time in the world in 4d,3.5
Action|Adventure|Children|Fantasy,6624,agent cody banks,4.0
Action|Adventure|Children|Fantasy,7164,peter pan,3.5
Action|Adventure|Children|Fantasy,33681,"adventures of sharkboy and lavagirl 3-d, the",0.5
Action|Adventure|Children|Fantasy|Mystery|Thriller,2414,young sherlock holmes,3.0
Action|Adventure|Children|Mystery|Sci-Fi,132046,tomorrowland,3.98
Action|Adventure|Children|Sci-Fi,187595,solo: a star wars story,3.58
Action|Adventure|Comedy,34520,"dukes of hazzard, the",5.0
Action|Adventure|Comedy,138036,the man from u.n.c.l.e.,4.36
Action|Adventure|Comedy,6156,shanghai knights,4.13
Action|Adventure|Comedy,1517,austin powers: international man of mystery,4.0
Action|Adventure|Comedy,6764,"rundown, the",4.0
Action|Adventure|Comedy,140160,descendants,4.0
Action|Adventure|Comedy,2879,armour of god ii: operation condor,3.5
Action|Adventure|Comedy,113348,teenage mutant ninja turtles,3.5
Action|Adventure|Comedy,2880,armour of god,3.5
Action|Adventure|Comedy,7000,hudson hawk,3.5
Action|Adventure|Comedy,32596,sahara,3.13
Action|Adventure|Comedy,210573,the king's man,3.0
Action|Adventure|Comedy,176101,kingsman: the golden circle,2.94
Action|Adventure|Comedy,159690,teenage mutant ninja turtles: out of the shadows,1.5
Action|Adventure|Comedy,26152,batman,1.5
Action|Adventure|Comedy|Crime,119145,kingsman: the secret service,3.31
Action|Adventure|Comedy|Crime,153,batman forever,1.27
Action|Adventure|Comedy|Crime|Drama|Thriller,64645,the wrecking crew,3.5
Action|Adventure|Comedy|Crime|Fantasy,60074,hancock,4.5
Action|Adventure|Comedy|Crime|Mystery|Thriller,91542,sherlock holmes: a game of shadows,4.36
Action|Adventure|Comedy|Crime|Thriller,80219,machete,4.5
Action|Adventure|Comedy|Crime|Thriller,8968,after the sunset,3.0
Action|Adventure|Comedy|Drama|Romance,42015,casanova,3.5
Action|Adventure|Comedy|Drama|War,53226,"great war, the",3.5
Action|Adventure|Comedy|Fantasy,59103,"forbidden kingdom, the",4.5
Action|Adventure|Comedy|Fantasy,6539,pirates of the caribbean: the curse of the black pearl,4.3
Action|Adventure|Comedy|Fantasy,53125,pirates of the caribbean: at world's end,3.88
Action|Adventure|Comedy|Fantasy,485,last action hero,3.41
Action|Adventure|Comedy|Fantasy,207233,jumanji: the next level,3.28
Action|Adventure|Comedy|Fantasy,3997,dungeons & dragons,3.0
Action|Adventure|Comedy|Fantasy,3740,big trouble in little china,3.0
Action|Adventure|Comedy|Fantasy|Horror,1215,army of darkness,3.5
Action|Adventure|Comedy|Fantasy|Horror|Thriller,2617,"mummy, the",4.0
Action|Adventure|Comedy|Fantasy|Romance,1197,"princess bride, the",4.49
Action|Adventure|Comedy|Fantasy|Sci-Fi,188301,ant-man and the wasp,4.4
Action|Adventure|Comedy|Horror,69275,dead snow,2.0
Action|Adventure|Comedy|Romance,33679,mr. & mrs. smith,3.65
Action|Adventure|Comedy|Romance,2406,romancing the stone,3.5
Action|Adventure|Comedy|Romance,57951,fool's gold,3.5
Action|Adventure|Comedy|Romance|Thriller,380,true lies,4.0
Action|Adventure|Comedy|Romance|Thriller,6564,lara croft tomb raider: the cradle of life,2.0
Action|Adventure|Comedy|Sci-Fi,1527,"fifth element, the",4.77
Action|Adventure|Comedy|Sci-Fi,202421,rim of the world,4.0
Action|Adventure|Comedy|Sci-Fi,122904,deadpool,3.97
Action|Adventure|Comedy|Sci-Fi,59615,indiana jones and the kingdom of the crystal skull,3.75
Action|Adventure|Comedy|Sci-Fi,226202,free guy,2.87
Action|Adventure|Comedy|Sci-Fi,201586,men in black: international,2.5
Action|Adventure|Comedy|Sci-Fi,69278,land of the lost,2.0
Action|Adventure|Comedy|Sci-Fi|IMAX,92681,journey 2: the mysterious island,2.63
Action|Adventure|Comedy|Thriller,4270,"mummy returns, the",3.4
Action|Adventure|Comedy|War,61132,tropic thunder,4.35
Action|Adventure|Comedy|Western,3624,shanghai noon,4.5
Action|Adventure|Crime,136020,spectre,3.61
Action|Adventure|Crime,210569,birds of prey,3.58
Action|Adventure|Crime,97950,"man with the iron fists, the",1.5
Action|Adventure|Crime|Drama,31221,elektra,5.0
Action|Adventure|Crime|Drama|Thriller,6016,city of god,4.62
Action|Adventure|Crime|Drama|Thriller|War,49530,blood diamond,3.94
Action|Adventure|Crime|Fantasy,251086,the suicide squad,3.44
Action|Adventure|Crime|Horror|Thriller,53519,death proof,2.81
Action|Adventure|Crime|IMAX,91529,"dark knight rises, the",3.84
Action|Adventure|Crime|Thriller,7802,"warriors, the",4.58
Action|Adventure|Crime|Thriller,243066,the art of losing,4.5
Action|Adventure|Crime|Thriller,6709,once upon a time in mexico,4.5
Action|Adventure|Crime|Thriller,120946,the hire: hostage,4.0
Action|Adventure|Crime|Thriller,170,hackers,3.39
Action|Adventure|Crime|Thriller,64030,transporter 3,3.13
Action|Adventure|Crime|Thriller,53972,live free or die hard,3.07
Action|Adventure|Documentary,151597,racing extinction,5.0
Action|Adventure|Drama,2893,plunkett & macleane,4.5
Action|Adventure|Drama,2019,seven samurai,4.43
Action|Adventure|Drama,7090,hero,4.35
Action|Adventure|Drama,55247,into the wild,4.32
Action|Adventure|Drama,2905,sanjuro,4.17
Action|Adventure|Drama,3578,gladiator,4.07
Action|Adventure|Drama,190399,animal world,4.0
Action|Adventure|Drama,169900,the lost city of z,4.0
Action|Adventure|Drama,73321,"book of eli, the",3.64
Action|Adventure|Drama,1801,"man in the iron mask, the",3.5
Action|Adventure|Drama,93610,space battleship yamato,3.5
Action|Adventure|Drama,116887,exodus: gods and kings,3.5
Action|Adventure|Drama,2421,"karate kid, part ii, the",3.17
Action|Adventure|Drama,94780,snow white and the huntsman,2.5
Action|Adventure|Drama,6721,once upon a time in china,2.0
Action|Adventure|Drama|Fantasy,7153,"lord of the rings: the return of the king, the",4.28
Action|Adventure|Drama|Fantasy,168344,king arthur: legend of the sword,4.0
Action|Adventure|Drama|Fantasy,76175,clash of the titans,3.88
Action|Adventure|Drama|Fantasy|IMAX,86332,thor,3.66
Action|Adventure|Drama|Fantasy|Mystery|IMAX,88125,harry potter and the deathly hallows: part 2,3.88
Action|Adventure|Drama|Fantasy|Thriller,41569,king kong,3.36
Action|Adventure|Drama|Fantasy|Thriller,2429,mighty joe young,2.5
Action|Adventure|Drama|IMAX,104312,"mortal instruments: city of bones, the",2.0
Action|Adventure|Drama|Mystery,205287,bacurau,3.5
Action|Adventure|Drama|Mystery,177057,murderers' row,3.0
Action|Adventure|Drama|Mystery|Thriller,8972,national treasure,3.84
Action|Adventure|Drama|Mystery|Thriller,77364,"losers, the",3.4
Action|Adventure|Drama|Romance|War,77866,robin hood,4.14
Action|Adventure|Drama|Romance|War,74111,arn: the kingdom at road's end,4.0
Action|Adventure|Drama|Romance|War,54075,arn: the knight templar,3.83
Action|Adventure|Drama|Sci-Fi,254726,dune,4.39
Action|Adventure|Drama|Sci-Fi,173145,war for the planet of the apes,3.98
Action|Adventure|Drama|Sci-Fi,171765,okja,3.64
Action|Adventure|Drama|Sci-Fi,6645,thx 1138,3.5
Action|Adventure|Drama|Sci-Fi,1726,"postman, the",3.0
Action|Adventure|Drama|Sci-Fi,4643,planet of the apes,2.42
Action|Adventure|Drama|Sci-Fi|Thriller,48774,children of men,3.98
Action|Adventure|Drama|Sci-Fi|Thriller,91500,the hunger games,3.8
Action|Adventure|Drama|Sci-Fi|Thriller,117529,jurassic world,3.19
Action|Adventure|Drama|Sci-Fi|Thriller,8361,"day after tomorrow, the",2.98
Action|Adventure|Drama|Sci-Fi|Thriller,187031,jurassic world: fallen kingdom,2.85
Action|Adventure|Drama|Sci-Fi|Thriller,58025,jumper,2.75
Action|Adventure|Drama|Sci-Fi|Thriller,27618,"sound of thunder, a",2.5
Action|Adventure|Drama|Thriller,2403,first blood,4.58
Action|Adventure|Drama|Thriller,242774,black widow,4.08
Action|Adventure|Drama|Thriller,798,daylight,4.0
Action|Adventure|Drama|Thriller,5479,k-19: the widowmaker,4.0
Action|Adventure|Drama|Thriller,7700,"wages of fear, the",4.0
Action|Adventure|Drama|Thriller,5064,the count of monte cristo,3.8
Action|Adventure|Drama|Thriller,4142,left behind: the movie,3.5
Action|Adventure|Drama|Thriller|IMAX,84613,sanctum,3.5
Action|Adventure|Drama|Thriller|Western,3508,"outlaw josey wales, the",4.5
Action|Adventure|Drama|War,7307,flesh & blood,5.0
Action|Adventure|Drama|War,3654,"guns of navarone, the",4.5
Action|Adventure|Drama|War,4103,empire of the sun,4.5
Action|Adventure|Drama|War,8640,king arthur,4.43
Action|Adventure|Drama|War,7143,"last samurai, the",4.12
Action|Adventure|Drama|War,48319,flyboys,4.0
Action|Adventure|Drama|War,7458,troy,3.5
Action|Adventure|Drama|War,92234,red tails,3.5
Action|Adventure|Drama|War,8977,alexander,2.65
Action|Adventure|Drama|Western,39435,"legend of zorro, the",4.0
Action|Adventure|Fantasy,2826,"13th warrior, the",4.5
Action|Adventure|Fantasy,106491,47 ronin,4.5
Action|Adventure|Fantasy,1275,highlander,4.27
Action|Adventure|Fantasy,45722,pirates of the caribbean: dead man's chest,4.21
Action|Adventure|Fantasy,1587,conan the barbarian,4.15
Action|Adventure|Fantasy,143355,wonder woman,4.0
Action|Adventure|Fantasy,49649,eragon,4.0
Action|Adventure|Fantasy,255335,shang-chi and the legend of the ten rings,4.0
Action|Adventure|Fantasy,272525,doctor strange in the multiverse of madness,3.75
Action|Adventure|Fantasy,7757,jason and the argonauts,3.75
Action|Adventure|Fantasy,5040,conan the destroyer,3.57
Action|Adventure|Fantasy,5463,reign of fire,3.5
Action|Adventure|Fantasy,89190,conan the barbarian,3.5
Action|Adventure|Fantasy,135532,the last witch hunter,3.5
Action|Adventure|Fantasy,274971,thor: love and thunder,3.5
Action|Adventure|Fantasy,278312,black adam,3.5
Action|Adventure|Fantasy,653,dragonheart,3.5
Action|Adventure|Fantasy,2193,willow,3.4
Action|Adventure|Fantasy,122926,untitled spider-man reboot,3.22
Action|Adventure|Fantasy,2115,indiana jones and the temple of doom,3.19
Action|Adventure|Fantasy,168254,kong: skull island,3.14
Action|Adventure|Fantasy,182439,the lord of the g-strings: the femaleship of the string,3.0
Action|Adventure|Fantasy,222477,wonder woman 1984,2.75
Action|Adventure|Fantasy,78893,"last airbender, the",2.13
Action|Adventure|Fantasy,240452,mortal kombat,2.13
Action|Adventure|Fantasy,2373,red sonja,1.5
Action|Adventure|Fantasy,196223,hellboy,1.5
Action|Adventure|Fantasy,226698,monster hunter,1.0
Action|Adventure|Fantasy|Horror,7373,hellboy,4.0
Action|Adventure|Fantasy|Horror,2366,king kong,3.5
Action|Adventure|Fantasy|Horror,7454,van helsing,3.45
Action|Adventure|Fantasy|Horror,77540,solomon kane,2.75
Action|Adventure|Fantasy|IMAX,93766,wrath of the titans,4.0
Action|Adventure|Fantasy|IMAX,106072,thor: the dark world,3.93
Action|Adventure|Fantasy|IMAX,81834,harry potter and the deathly hallows: part 1,3.45
Action|Adventure|Fantasy|IMAX,86880,pirates of the caribbean: on stranger tides,2.9
Action|Adventure|Fantasy|Romance,5540,clash of the titans,2.44
Action|Adventure|Fantasy|Romance|IMAX,78105,prince of persia: the sands of time,4.0
Action|Adventure|Fantasy|Sci-Fi,4275,krull,4.0
Action|Adventure|Fantasy|Sci-Fi,4133,masters of the universe,4.0
Action|Adventure|Fantasy|Sci-Fi,166528,rogue one: a star wars story,3.9
Action|Adventure|Fantasy|Sci-Fi,143345,shazam!,3.6
Action|Adventure|Fantasy|Sci-Fi,74619,mysterious island,3.5
Action|Adventure|Fantasy|Sci-Fi,57640,hellboy ii: the golden army,3.5
Action|Adventure|Fantasy|Sci-Fi,263007,spider-man: no way home,3.25
Action|Adventure|Fantasy|Sci-Fi,103772,"wolverine, the",3.0
Action|Adventure|Fantasy|Sci-Fi,260665,eternals,3.0
Action|Adventure|Fantasy|Sci-Fi,243642,zack snyder's justice league,2.76
Action|Adventure|Fantasy|Sci-Fi,136864,batman v superman: dawn of justice,2.63
Action|Adventure|Fantasy|Sci-Fi,179819,star wars: the last jedi,2.42
Action|Adventure|Fantasy|Sci-Fi,122902,fantastic four,2.17
Action|Adventure|Fantasy|Sci-Fi,122924,x-men: apocalypse,1.89
Action|Adventure|Fantasy|Sci-Fi,67867,dragonball evolution,1.5
Action|Adventure|Fantasy|Sci-Fi|IMAX,122886,star wars: episode vii - the force awakens,4.11
Action|Adventure|Fantasy|Sci-Fi|IMAX,103042,man of steel,2.18
Action|Adventure|Fantasy|Thriller,5313,the scorpion king,4.0
Action|Adventure|Fantasy|Thriller,60937,"mummy: tomb of the dragon emperor, the",2.5
Action|Adventure|Fantasy|Thriller,1562,batman & robin,0.5
Action|Adventure|Horror|Sci-Fi,1200,aliens,4.58
Action|Adventure|Horror|Sci-Fi,191367,the predator,3.0
Action|Adventure|Mystery|Romance|Thriller,908,north by northwest,4.69
Action|Adventure|Mystery|Sci-Fi|Thriller,190085,how it ends,2.0
Action|Adventure|Mystery|Thriller,648,mission: impossible,4.43
Action|Adventure|Mystery|Thriller,224280,no time to die,4.04
Action|Adventure|Mystery|Thriller,86190,hanna,3.95
Action|Adventure|Romance|Thriller,736,twister,4.0
Action|Adventure|Romance|Thriller,3633,on her majesty's secret service,3.5
Action|Adventure|Romance|War,58743,alatriste,3.0
Action|Adventure|Sci-Fi,5171,"time machine, the",5.0
Action|Adventure|Sci-Fi,1196,star wars: episode v - the empire strikes back,4.78
Action|Adventure|Sci-Fi,6537,terminator 3: rise of the machines,4.75
Action|Adventure|Sci-Fi,1210,star wars: episode vi - return of the jedi,4.63
Action|Adventure|Sci-Fi,122918,guardians of the galaxy 2,4.5
Action|Adventure|Sci-Fi,3959,"time machine, the",4.5
Action|Adventure|Sci-Fi,65982,outlander,4.5
Action|Adventure|Sci-Fi,8865,sky captain and the world of tomorrow,4.47
Action|Adventure|Sci-Fi,122922,doctor strange,4.47
Action|Adventure|Sci-Fi,34405,serenity,4.43
Action|Adventure|Sci-Fi,2105,tron,4.38
Action|Adventure|Sci-Fi,260,star wars: episode iv - a new hope,4.34
Action|Adventure|Sci-Fi,442,demolition man,4.13
Action|Adventure|Sci-Fi,122916,thor: ragnarok,4.12
Action|Adventure|Sci-Fi,33493,star wars: episode iii - revenge of the sith,4.07
Action|Adventure|Sci-Fi,2640,superman,4.07
Action|Adventure|Sci-Fi,141544,turbo kid,4.0
Action|Adventure|Sci-Fi,285593,guardians of the galaxy volume 3,4.0
Action|Adventure|Sci-Fi,279414,black panther: wakanda forever,4.0
Action|Adventure|Sci-Fi,111362,x-men: days of future past,4.0
Action|Adventure|Sci-Fi,130842,power/rangers,4.0
Action|Adventure|Sci-Fi,280218,avatar: the way of water,3.97
Action|Adventure|Sci-Fi,2528,logan's run,3.93
Action|Adventure|Sci-Fi,2628,star wars: episode i - the phantom menace,3.8
Action|Adventure|Sci-Fi,122906,black panther,3.72
Action|Adventure|Sci-Fi,316,stargate,3.67
Action|Adventure|Sci-Fi,135569,star trek beyond,3.63
Action|Adventure|Sci-Fi,3793,x-men,3.56
Action|Adventure|Sci-Fi,3704,mad max beyond thunderdome,3.5
Action|Adventure|Sci-Fi,195163,bumblebee,3.5
Action|Adventure|Sci-Fi,112852,guardians of the galaxy,3.39
Action|Adventure|Sci-Fi,186587,rampage,3.38
Action|Adventure|Sci-Fi,122910,captain marvel,3.38
Action|Adventure|Sci-Fi,59315,iron man,3.38
Action|Adventure|Sci-Fi,87430,green lantern,3.33
Action|Adventure|Sci-Fi,122900,ant-man,3.32
Action|Adventure|Sci-Fi,122914,avengers: infinity war - part ii,3.17
Action|Adventure|Sci-Fi,173291,valerian and the city of a thousand planets,3.13
Action|Adventure|Sci-Fi,3702,mad max,3.05
Action|Adventure|Sci-Fi,208,waterworld,3.0
Action|Adventure|Sci-Fi,2094,"rocketeer, the",3.0
Action|Adventure|Sci-Fi,135567,independence day: resurgence,3.0
Action|Adventure|Sci-Fi,113345,jupiter ascending,2.93
Action|Adventure|Sci-Fi,122912,avengers: infinity war - part i,2.86
Action|Adventure|Sci-Fi,263009,the matrix resurrections,2.85
Action|Adventure|Sci-Fi,122892,avengers: age of ultron,2.79
Action|Adventure|Sci-Fi,122898,justice league,2.73
Action|Adventure|Sci-Fi,1831,lost in space,2.5
Action|Adventure|Sci-Fi,1375,star trek iii: the search for spock,2.5
Action|Adventure|Sci-Fi,201773,spider-man: far from home,2.39
Action|Adventure|Sci-Fi,269872,moonfall,2.17
Action|Adventure|Sci-Fi,2642,superman iii,2.1
Action|Adventure|Sci-Fi,142509,hardcore henry,2.0
Action|Adventure|Sci-Fi,53464,fantastic four: rise of the silver surfer,2.0
Action|Adventure|Sci-Fi,208205,star wars: the rise of skywalker,1.61
Action|Adventure|Sci-Fi,6534,hulk,1.57
Action|Adventure|Sci-Fi,2643,superman iv: the quest for peace,1.5
Action|Adventure|Sci-Fi|IMAX,68358,star trek,4.39
Action|Adventure|Sci-Fi|IMAX,102445,star trek into darkness,4.23
Action|Adventure|Sci-Fi|IMAX,5378,star wars: episode ii - attack of the clones,4.2
Action|Adventure|Sci-Fi|IMAX,72998,avatar,4.15
Action|Adventure|Sci-Fi|IMAX,101864,oblivion,4.03
Action|Adventure|Sci-Fi|IMAX,111364,godzilla,4.03
Action|Adventure|Sci-Fi|IMAX,93363,john carter,4.0
Action|Adventure|Sci-Fi|IMAX,106002,ender's game,4.0
Action|Adventure|Sci-Fi|IMAX,106487,the hunger games: catching fire,3.95
Action|Adventure|Sci-Fi|IMAX,95510,"amazing spider-man, the",3.76
Action|Adventure|Sci-Fi|IMAX,8636,spider-man 2,3.71
Action|Adventure|Sci-Fi|IMAX,82461,tron: legacy,3.68
Action|Adventure|Sci-Fi|IMAX,89745,"avengers, the",2.89
Action|Adventure|Sci-Fi|IMAX,69526,transformers: revenge of the fallen,2.86
Action|Adventure|Sci-Fi|IMAX,102880,after earth,2.61
Action|Adventure|Sci-Fi|IMAX,103228,pacific rim,2.56
Action|Adventure|Sci-Fi|IMAX,110102,captain america: the winter soldier,2.21
Action|Adventure|Sci-Fi|IMAX,46530,superman returns,2.0
Action|Adventure|Sci-Fi|Thriller,1356,star trek: first contact,5.0
Action|Adventure|Sci-Fi|Thriller,6333,x2: x-men united,4.4
Action|Adventure|Sci-Fi|Thriller,1127,"abyss, the",4.36
Action|Adventure|Sci-Fi|Thriller,2916,total recall,4.32
Action|Adventure|Sci-Fi|Thriller,1374,star trek ii: the wrath of khan,4.25
Action|Adventure|Sci-Fi|Thriller,480,jurassic park,4.15
Action|Adventure|Sci-Fi|Thriller,8644,"i, robot",4.12
Action|Adventure|Sci-Fi|Thriller,122882,mad max: fury road,4.01
Action|Adventure|Sci-Fi|Thriller,61248,death race,3.56
Action|Adventure|Sci-Fi|Thriller,4638,jurassic park iii,3.5
Action|Adventure|Sci-Fi|Thriller,3638,moonraker,3.0
